Entity Code,Entity Name (required),Legal Company Type Type,Status,Registration Number / Tax ID,Incorporation Date,Country,Region / State,Dissolved Date,Historical?,Registered Office Address ,Main Address Line 1
Text (12),Text (160),Text (60),Text (30),Text (30),yyyy-mm-dd,,,yyyy-mm-dd,TRUE or FALSE,Text (60),Text (60)
,IRC Holdings,Audit Committee,Active,123456789,2020-08-08,RU,Moscow Oblast,,FALSE,"15 Red Square, Moscow, 101000, Russia","10 Arbat Street, Moscow, 119019, Russia"
,ABC Company,BCA Company,Prior,65545646,2018-07-31,MX,Jalisco,2022-07-20,TRUE,"789 Avenida Revolución, Mexico City, CDMX 03840, Mexico","456 Calle Insurgentes, Guadalajara, Jalisco 44100, Mexico"
,Yuga Studios,Committee,Active,54646111,2017-04-09,RU,Saint Petersburg,,FALSE,"23 Nevsky Prospekt, Saint Petersburg, 191186, Russia","78 Bolshaya Morskaya Street, Saint Petersburg, 190000, Russia"
,Partner Markets,Committee,Active,,2022-08-13,US,California,,FALSE,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA","350 Fifth Avenue, New York, NY 10118, USA"
,CORE Ed.,BCA Company,Prior,,2012-08-24,IT,Lombardy,2022-07-12,TRUE,"Via Roma 34, 00184 Rome, Italy","Piazza del Duomo 12, 20121 Milan, Italy"
,TREE Marketing,Investment Company,Active,416548949,1990-12-14,AR,Buenos Aires Province,,FALSE,"Av. Corrientes 1234, Buenos Aires, C1043AAJ, Argentina","Av. Santa Fe 789, Buenos Aires, C1059ABF, Argentina"
,Zova Branch Co.,Private Corporation,Prior,489894654,1996-04-15,CA,Quebec,,TRUE,"1234 Granville Street, Vancouver, BC V6Z 1M4, Canada","567 Rue Sainte-Catherine, Montreal, QC H3B 1B2, Canada"
,CBH Bank,Corporation,Prior,84849455,2007-03-30,CR,San José Province,,FALSE,"Avenida Central 45, San José, 10101, Costa Rica","Calle 5, Barrio Escalante, San José, 11501, Costa Rica"
,Youthcoin Ltd.,Trust,Dormant,,2013-02-16,UK,Greater London,2022-06-14,TRUE,"221B Baker Street, London NW1 6XE, United Kingdom","12 Downing Street, London SW1A 2AA, United Kingdom"
,Simplify Corporation,Limited Partnership,Dormant,,2001-06-28,EG,Cairo Governorate,2024-07-31,TRUE,"5 Al Tahrir Square, Cairo, 11512, Egypt","12 Ramses Street, Giza, 12511, Egypt"
